loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_status,start_date
LOAN001928,CUS009622,Home Loan,120534,7.58,Approved,2025-07-03
LOAN001929,CUS003898,Home Loan,2909879,11.61,Approved,2025-02-24
LOAN001930,CUS011687,Car Loan,1847532,13.64,Pending,2024-09-20
LOAN001931,CUS013946,Personal Loan,195491,13.61,Approved,2022-10-20
LOAN001932,CUS017558,Car Loan,1724896,9.27,Approved,2021-10-04
LOAN001933,CUS013848,Home Loan,99021,13.79,Approved,2024-07-04
LOAN001934,CUS013780,Gold Loan,884429,11.0,Pending,2024-03-09
LOAN001935,CUS011378,Car Loan,211129,8.24,Approved,2022-06-08
LOAN001936,CUS015422,Car Loan,117373,9.55,Pending,2020-09-09
LOAN001937,CUS005345,Education Loan,239528,10.58,Approved,2020-03-26
LOAN001938,CUS006264,Home Loan,909298,8.56,Approved,2025-12-03
LOAN001939,CUS012676,Business Loan,762944,13.67,Pending,2020-01-22
LOAN001940,CUS014796,Education Loan,127618,12.57,Approved,2025-04-24
LOAN001941,CUS014170,Personal Loan,848466,10.51,Pending,2021-06-25
LOAN001942,CUS009653,Home Loan,81517,13.0,Pending,2021-05-25
LOAN001943,CUS007173,Business Loan,123218,13.19,Pending,2025-06-12
LOAN001944,CUS013610,Home Loan,63304,13.69,Pending,2020-03-16
LOAN001945,CUS010531,Gold Loan,72035,11.21,Closed,2022-07-26
LOAN001946,CUS017433,Business Loan,2575771,9.99,Pending,2023-11-13
LOAN001947,CUS003919,Personal Loan,118843,8.32,Closed,2020-12-08
LOAN001948,CUS003271,Personal Loan,252892,12.14,Approved,2020-02-07
LOAN001949,CUS008454,Car Loan,73638,13.48,Pending,2025-10-21
LOAN001950,CUS014609,Business Loan,114199,7.36,Approved,2024-12-21
LOAN001951,CUS019647,Education Loan,789871,13.28,Approved,2025-11-11
LOAN001952,CUS005539,Business Loan,148094,10.4,Pending,2020-01-07
LOAN001953,CUS001572,Home Loan,51207,7.97,Approved,2022-08-05
LOAN001954,CUS000204,Car Loan,204697,8.46,Approved,2022-03-26
LOAN001955,CUS017378,Education Loan,97673,10.96,Approved,2025-03-14
LOAN001956,CUS004125,Gold Loan,65393,11.0,Approved,2025-05-21
LOAN001957,CUS007268,Car Loan,2636035,10.7,Approved,2024-03-03
LOAN001958,CUS002314,Personal Loan,73780,12.16,Closed,2023-12-19
LOAN001959,CUS014824,Car Loan,273798,13.79,Approved,2024-05-12
LOAN001960,CUS003215,Car Loan,294206,10.37,Approved,2022-07-21
LOAN001961,CUS011988,Gold Loan,222289,13.57,Approved,2023-02-11
LOAN001962,CUS018650,Business Loan,249215,7.76,Approved,2021-01-01
LOAN001963,CUS010909,Personal Loan,190435,7.28,Pending,2021-10-11
LOAN001964,CUS000286,Car Loan,966100,7.75,Approved,2021-01-15
LOAN001965,CUS010609,Education Loan,915330,12.23,Approved,2023-10-20
LOAN001966,CUS007919,Personal Loan,9247302,8.66,Approved,2023-12-07
LOAN001967,CUS004025,Education Loan,191991,13.23,Approved,2025-08-11
LOAN001968,CUS015203,Home Loan,1646770,8.05,Pending,2023-04-15
LOAN001969,CUS017166,Business Loan,3725259,13.31,Approved,2022-02-15
LOAN001970,CUS005019,Business Loan,142163,8.29,Approved,2020-03-11
LOAN001971,CUS000834,Home Loan,104359,12.9,Pending,2025-11-01
LOAN001972,CUS005644,Gold Loan,950641,13.54,Approved,2022-02-10
LOAN001973,CUS003593,Business Loan,94402,8.47,Approved,2022-12-08
LOAN001974,CUS013381,Home Loan,962863,8.27,Approved,2021-10-22
LOAN001975,CUS017124,Gold Loan,1650053,10.31,Pending,2020-06-07
LOAN001976,CUS002720,Business Loan,2218036,13.32,Pending,2024-03-09
LOAN001977,CUS005152,Gold Loan,631985,11.12,Approved,2020-11-23
LOAN001978,CUS015693,Home Loan,8682787,12.52,Approved,2020-06-14
LOAN001979,CUS016580,Personal Loan,135981,11.43,Pending,2023-11-14
LOAN001980,CUS019739,Education Loan,2746883,10.3,Closed,2021-06-12
LOAN001981,CUS003154,Education Loan,2471883,11.73,Closed,2024-10-17
LOAN001982,CUS013374,Home Loan,111567,8.26,Approved,2022-12-06
LOAN001983,CUS001154,Personal Loan,158921,11.39,Approved,2020-04-19
LOAN001984,CUS014143,Home Loan,93816,8.91,Closed,2020-11-24
LOAN001985,CUS000927,Personal Loan,164475,12.48,Approved,2024-08-08
LOAN001986,CUS011197,Personal Loan,744713,7.83,Closed,2020-08-13
LOAN001987,CUS010897,Personal Loan,1571758,9.85,Approved,2021-12-11
LOAN001988,CUS013167,Personal Loan,984462,13.63,Approved,2024-09-02
LOAN001989,CUS010112,Car Loan,8654025,8.35,Pending,2024-12-18
LOAN001990,CUS015315,Personal Loan,629810,11.51,Pending,2023-12-21
LOAN001991,CUS006414,Business Loan,222536,11.97,Closed,2021-04-20
LOAN001992,CUS003566,Personal Loan,280254,11.98,Approved,2024-05-12
LOAN001993,CUS016491,Personal Loan,157637,8.92,Pending,2024-06-28
LOAN001994,CUS009931,Education Loan,55949,11.63,Approved,2024-03-19
LOAN001995,CUS003700,Education Loan,276805,10.78,Approved,2021-06-10
LOAN001996,CUS000292,Business Loan,102395,10.29,Closed,2022-10-23
LOAN001997,CUS000712,Business Loan,263458,9.8,Approved,2020-11-19
LOAN001998,CUS008433,Personal Loan,161796,7.58,Pending,2025-12-11
LOAN001999,CUS002431,Education Loan,258605,7.41,Approved,2024-10-11
LOAN002000,CUS017292,Home Loan,276323,10.75,Approved,2022-12-07
LOAN002001,CUS003907,Car Loan,880925,13.15,Approved,2022-03-14
LOAN002002,CUS018165,Business Loan,101739,9.64,Approved,2024-04-23
LOAN002003,CUS003830,Business Loan,149921,10.36,Approved,2023-11-07
LOAN002004,CUS014590,Car Loan,235249,11.97,Closed,2024-10-08
LOAN002005,CUS000392,Personal Loan,645571,9.92,Approved,2024-01-09
LOAN002006,CUS004837,Car Loan,205211,11.72,Closed,2022-09-28
LOAN002007,CUS017470,Education Loan,6797120,9.99,Pending,2021-06-17
LOAN002008,CUS012015,Home Loan,178838,12.19,Closed,2025-01-05
LOAN002009,CUS013193,Business Loan,5635364,9.21,Approved,2022-10-09
LOAN002010,CUS002844,Education Loan,190116,8.57,Approved,2024-02-13
LOAN002011,CUS007408,Personal Loan,246928,13.79,Approved,2025-05-05
LOAN002012,CUS019832,Home Loan,282174,7.21,Approved,2020-11-16
LOAN002013,CUS011172,Personal Loan,258420,8.46,Approved,2023-06-21
LOAN002014,CUS008683,Business Loan,9289241,12.96,Pending,2024-05-01
LOAN002015,CUS002674,Car Loan,153576,8.55,Approved,2023-10-17
LOAN002016,CUS013091,Gold Loan,282200,9.93,Approved,2020-03-25
LOAN002017,CUS012703,Gold Loan,182128,12.37,Approved,2021-06-06
LOAN002018,CUS002808,Car Loan,116267,8.6,Approved,2022-11-14
LOAN002019,CUS008404,Personal Loan,93952,10.48,Approved,2023-02-26
LOAN002020,CUS001000,Personal Loan,802747,9.54,Approved,2024-12-04
LOAN002021,CUS001051,Personal Loan,273120,11.91,Approved,2023-02-13
LOAN002022,CUS011876,Gold Loan,257268,8.26,Approved,2024-01-13
LOAN002023,CUS008480,Car Loan,482243,9.8,Approved,2024-02-24
LOAN002024,CUS019616,Personal Loan,94499,11.92,Approved,2024-12-03
LOAN002025,CUS002411,Personal Loan,4298971,9.77,Approved,2025-04-08
LOAN002026,CUS011489,Education Loan,96974,12.7,Approved,2020-02-21
LOAN002027,CUS016388,Education Loan,9678224,11.49,Approved,2025-02-08
LOAN002028,CUS008673,Personal Loan,206573,11.55,Approved,2021-10-02
LOAN002029,CUS016980,Gold Loan,146584,9.06,Approved,2021-07-19
LOAN002030,CUS011143,Car Loan,261077,11.98,Approved,2020-02-01
LOAN002031,CUS013481,Personal Loan,203746,11.17,Pending,2024-10-25
LOAN002032,CUS002283,Education Loan,132641,9.92,Pending,2025-09-25
LOAN002033,CUS009342,Car Loan,165675,11.24,Approved,2020-05-05
LOAN002034,CUS000633,Education Loan,189095,11.98,Approved,2021-02-06
LOAN002035,CUS009751,Home Loan,229658,7.74,Approved,2023-02-09
LOAN002036,CUS009026,Personal Loan,2011299,9.06,Pending,2022-12-11
LOAN002037,CUS008760,Personal Loan,517719,8.72,Approved,2023-09-22
LOAN002038,CUS017782,Education Loan,75460,11.01,Pending,2025-04-24
LOAN002039,CUS019629,Car Loan,989361,8.1,Approved,2020-08-19
LOAN002040,CUS009483,Home Loan,214443,11.75,Approved,2024-07-20
LOAN002041,CUS015681,Home Loan,665853,8.86,Approved,2023-02-14
LOAN002042,CUS015014,Education Loan,2297267,8.36,Approved,2024-08-11
LOAN002043,CUS003850,Gold Loan,265010,10.43,Approved,2020-12-24
LOAN002044,CUS009324,Business Loan,269445,7.85,Approved,2021-08-05
LOAN002045,CUS007048,Personal Loan,728550,11.72,Approved,2021-03-24
LOAN002046,CUS016095,Car Loan,190471,9.35,Approved,2024-10-25
LOAN002047,CUS007881,Car Loan,2759622,13.68,Approved,2021-10-28
LOAN002048,CUS016220,Car Loan,2553818,10.74,Approved,2024-07-24
LOAN002049,CUS008785,Education Loan,287600,8.09,Approved,2023-05-06
LOAN002050,CUS016145,Personal Loan,869428,10.23,Pending,2023-03-11
LOAN002051,CUS016170,Personal Loan,57302,10.74,Approved,2025-10-15
LOAN002052,CUS002961,Business Loan,4201755,11.27,Approved,2022-01-10
LOAN002053,CUS016932,Home Loan,274095,13.23,Approved,2021-11-19
LOAN002054,CUS019971,Gold Loan,571723,13.79,Approved,2021-12-14
LOAN002055,CUS009811,Home Loan,1699374,9.93,Pending,2023-06-23
LOAN002056,CUS019816,Home Loan,76441,7.39,Approved,2025-03-11
LOAN002057,CUS000401,Personal Loan,5798423,9.64,Approved,2023-12-07
LOAN002058,CUS001744,Home Loan,586252,8.1,Approved,2020-01-25
LOAN002059,CUS010955,Education Loan,50637,11.53,Closed,2021-07-17
LOAN002060,CUS005248,Gold Loan,1058343,13.18,Approved,2025-07-22
LOAN002061,CUS016550,Gold Loan,767241,8.75,Closed,2025-01-23
LOAN002062,CUS014511,Gold Loan,7847391,10.82,Approved,2020-02-21
LOAN002063,CUS016156,Gold Loan,127943,13.21,Approved,2021-11-10
LOAN002064,CUS008205,Car Loan,1416336,13.53,Approved,2025-11-16
LOAN002065,CUS000077,Personal Loan,204819,13.08,Approved,2024-09-17
LOAN002066,CUS007994,Personal Loan,6472307,13.49,Pending,2022-03-24
LOAN002067,CUS002779,Gold Loan,918918,7.77,Approved,2023-04-03
LOAN002068,CUS013288,Business Loan,179186,9.53,Approved,2024-06-03
LOAN002069,CUS000573,Gold Loan,776155,11.2,Approved,2022-09-13
LOAN002070,CUS005851,Business Loan,59925,11.08,Approved,2025-02-20
LOAN002071,CUS006390,Home Loan,2125363,12.25,Approved,2022-08-20
LOAN002072,CUS016351,Gold Loan,100965,10.19,Approved,2025-11-08
LOAN002073,CUS013048,Personal Loan,4914136,8.04,Approved,2021-08-08
LOAN002074,CUS003381,Car Loan,61971,13.78,Pending,2023-07-25
LOAN002075,CUS015676,Car Loan,106620,11.66,Approved,2025-06-17
LOAN002076,CUS005274,Home Loan,276341,11.18,Approved,2025-05-28
LOAN002077,CUS008183,Home Loan,273631,8.75,Pending,2022-10-25
LOAN002078,CUS004083,Car Loan,3280595,7.38,Approved,2021-10-07
LOAN002079,CUS008492,Personal Loan,420110,13.32,Approved,2021-03-28
LOAN002080,CUS008727,Personal Loan,114707,10.06,Approved,2022-01-19
LOAN002081,CUS004680,Gold Loan,822344,11.78,Pending,2025-09-20
LOAN002082,CUS009535,Business Loan,134349,9.99,Approved,2024-04-28
LOAN002083,CUS011631,Business Loan,76419,10.83,Approved,2025-11-04
LOAN002084,CUS007367,Gold Loan,51535,10.76,Approved,2021-03-17
LOAN002085,CUS005031,Home Loan,277889,13.4,Pending,2022-04-27
LOAN002086,CUS003847,Car Loan,146076,9.94,Approved,2022-08-26
LOAN002087,CUS000098,Business Loan,4621266,10.48,Approved,2021-01-22
LOAN002088,CUS015663,Gold Loan,100847,11.43,Approved,2022-08-16
LOAN002089,CUS004093,Car Loan,359888,9.2,Pending,2021-07-13
LOAN002090,CUS003451,Gold Loan,160743,8.06,Approved,2020-10-08
LOAN002091,CUS009952,Personal Loan,227672,8.08,Approved,2022-09-17
LOAN002092,CUS007589,Home Loan,170600,7.77,Pending,2025-03-25
LOAN002093,CUS012037,Car Loan,4317284,7.78,Approved,2023-11-11
LOAN002094,CUS019138,Business Loan,89630,13.19,Approved,2023-01-16
LOAN002095,CUS017698,Home Loan,69214,9.72,Approved,2022-04-13
LOAN002096,CUS013501,Gold Loan,8664251,9.18,Approved,2024-07-17
LOAN002097,CUS003456,Business Loan,194422,13.6,Approved,2021-06-27
LOAN002098,CUS000994,Personal Loan,275974,10.98,Approved,2021-09-11
LOAN002099,CUS016131,Personal Loan,262291,9.2,Approved,2025-05-28
LOAN002100,CUS012071,Business Loan,584043,10.38,Approved,2021-11-03
LOAN002101,CUS018636,Education Loan,165172,7.61,Approved,2022-08-06
LOAN002102,CUS003880,Gold Loan,8538858,8.86,Approved,2022-01-11
LOAN002103,CUS018704,Gold Loan,986119,12.58,Pending,2023-03-23
LOAN002104,CUS003933,Gold Loan,129383,11.25,Approved,2020-03-26
LOAN002105,CUS015818,Home Loan,218841,12.34,Approved,2024-12-19
LOAN002106,CUS006890,Business Loan,2545007,8.28,Approved,2024-11-06
LOAN002107,CUS018111,Personal Loan,193907,11.03,Approved,2021-07-06
LOAN002108,CUS013938,Personal Loan,923350,13.38,Approved,2021-03-07
LOAN002109,CUS008267,Gold Loan,239970,10.77,Approved,2024-02-05
LOAN002110,CUS016204,Car Loan,594051,13.57,Approved,2020-06-07
LOAN002111,CUS008716,Home Loan,134562,13.76,Pending,2020-09-25
LOAN002112,CUS017529,Personal Loan,125809,7.78,Pending,2020-03-02
LOAN002113,CUS001481,Education Loan,2313638,8.08,Pending,2022-07-01
LOAN002114,CUS014785,Gold Loan,8941329,8.49,Approved,2022-11-10
LOAN002115,CUS014711,Personal Loan,2745726,10.01,Approved,2025-07-08
LOAN002116,CUS007716,Education Loan,3603696,9.13,Approved,2021-11-03
LOAN002117,CUS004452,Business Loan,967951,7.99,Pending,2024-09-14
LOAN002118,CUS017559,Home Loan,178628,8.53,Pending,2024-03-08
LOAN002119,CUS014081,Business Loan,1070625,9.71,Approved,2024-03-14
LOAN002120,CUS009332,Car Loan,103988,7.68,Approved,2024-02-14
LOAN002121,CUS017750,Gold Loan,1837961,10.13,Closed,2024-09-08
LOAN002122,CUS015753,Home Loan,161900,10.31,Pending,2023-10-13
LOAN002123,CUS009315,Personal Loan,289400,12.36,Approved,2025-12-19
LOAN002124,CUS007649,Business Loan,209208,8.45,Approved,2025-05-19
LOAN002125,CUS016576,Personal Loan,801382,10.22,Approved,2021-07-19
LOAN002126,CUS010745,Personal Loan,139211,12.86,Approved,2025-09-01
LOAN002127,CUS016683,Home Loan,132203,8.25,Approved,2021-09-04
LOAN002128,CUS010657,Education Loan,227207,7.29,Pending,2022-11-28
LOAN002129,CUS002603,Gold Loan,75418,7.28,Approved,2024-11-06
LOAN002130,CUS006317,Car Loan,111120,9.8,Approved,2020-02-26
LOAN002131,CUS002676,Car Loan,250450,9.68,Approved,2022-04-27
LOAN002132,CUS019762,Home Loan,1386433,9.53,Closed,2023-11-10
LOAN002133,CUS011971,Education Loan,830305,8.25,Closed,2025-01-04
LOAN002134,CUS002393,Education Loan,483955,7.93,Approved,2024-05-04
LOAN002135,CUS016737,Education Loan,58854,11.73,Approved,2025-04-21
LOAN002136,CUS012116,Home Loan,283725,10.83,Approved,2021-10-04
LOAN002137,CUS001036,Car Loan,3779942,9.43,Approved,2024-07-07
LOAN002138,CUS009421,Car Loan,151997,10.22,Approved,2022-03-23
LOAN002139,CUS015398,Education Loan,786533,7.55,Approved,2020-02-15
LOAN002140,CUS007472,Education Loan,161857,9.85,Approved,2022-02-20
LOAN002141,CUS019725,Education Loan,1448472,9.24,Approved,2021-02-25
LOAN002142,CUS000710,Education Loan,1325311,13.28,Approved,2024-07-26
LOAN002143,CUS019122,Home Loan,159413,13.51,Approved,2022-03-02
LOAN002144,CUS005391,Business Loan,2935291,13.38,Pending,2022-11-04
LOAN002145,CUS000072,Education Loan,53471,9.19,Approved,2025-08-23
LOAN002146,CUS004745,Car Loan,3472558,8.39,Approved,2025-11-25
LOAN002147,CUS003889,Car Loan,292681,9.58,Approved,2020-04-01
LOAN002148,CUS016236,Business Loan,1926189,10.68,Approved,2025-03-24
LOAN002149,CUS018290,Business Loan,284689,11.01,Approved,2025-08-21
LOAN002150,CUS007860,Car Loan,172064,9.49,Approved,2024-11-06
LOAN002151,CUS012230,Home Loan,2096537,8.56,Approved,2020-10-15
LOAN002152,CUS011365,Gold Loan,1341196,10.56,Approved,2021-01-19
LOAN002153,CUS006173,Personal Loan,4328093,9.82,Approved,2025-10-07
LOAN002154,CUS017578,Home Loan,615510,12.58,Approved,2022-11-09
LOAN002155,CUS011015,Gold Loan,253491,12.96,Approved,2025-02-15
LOAN002156,CUS018703,Education Loan,8479971,7.93,Approved,2022-09-18
LOAN002157,CUS000883,Gold Loan,955402,10.14,Approved,2025-07-06
LOAN002158,CUS008834,Personal Loan,230966,9.59,Pending,2020-10-06
LOAN002159,CUS008407,Personal Loan,622691,13.06,Approved,2020-02-09
LOAN002160,CUS004665,Home Loan,9064194,13.74,Approved,2022-10-18
LOAN002161,CUS018609,Gold Loan,55833,11.91,Approved,2023-05-10
LOAN002162,CUS003197,Home Loan,2732722,11.1,Pending,2020-08-28
LOAN002163,CUS014983,Home Loan,546025,12.45,Approved,2024-12-17
LOAN002164,CUS011906,Car Loan,497286,8.49,Approved,2025-09-02
LOAN002165,CUS007083,Education Loan,84801,12.36,Closed,2022-10-15
LOAN002166,CUS003958,Gold Loan,187442,12.34,Approved,2022-09-01
LOAN002167,CUS001576,Gold Loan,131211,9.95,Approved,2022-08-26
LOAN002168,CUS019230,Home Loan,448058,11.15,Approved,2023-04-16
LOAN002169,CUS016507,Personal Loan,660629,10.67,Pending,2022-09-05
LOAN002170,CUS007748,Car Loan,226768,13.07,Approved,2020-01-04
LOAN002171,CUS018913,Personal Loan,200123,12.34,Approved,2025-09-11
LOAN002172,CUS018433,Education Loan,273400,12.17,Approved,2024-05-24
LOAN002173,CUS004874,Home Loan,84694,9.52,Approved,2024-02-24
LOAN002174,CUS003908,Gold Loan,181051,8.86,Approved,2023-10-26
LOAN002175,CUS015971,Business Loan,442115,13.54,Closed,2021-03-15
LOAN002176,CUS006208,Car Loan,65145,11.32,Approved,2020-01-27
LOAN002177,CUS002239,Business Loan,7506307,10.3,Approved,2020-12-26
LOAN002178,CUS015094,Education Loan,248860,8.14,Pending,2025-06-02
LOAN002179,CUS013707,Education Loan,2415820,11.17,Pending,2021-12-16
LOAN002180,CUS009027,Car Loan,107907,13.07,Approved,2025-07-09
LOAN002181,CUS011920,Gold Loan,9304976,9.79,Approved,2023-10-02
LOAN002182,CUS004901,Education Loan,262037,10.69,Closed,2022-09-21
LOAN002183,CUS003050,Car Loan,471713,10.66,Approved,2022-07-24
LOAN002184,CUS009993,Gold Loan,202919,7.64,Approved,2024-06-01
LOAN002185,CUS006041,Home Loan,201162,7.93,Approved,2022-08-27
LOAN002186,CUS004135,Car Loan,2811105,12.16,Closed,2022-11-06
LOAN002187,CUS007515,Personal Loan,191476,12.65,Approved,2025-12-19
LOAN002188,CUS015467,Business Loan,251477,12.9,Approved,2025-09-05
LOAN002189,CUS015823,Home Loan,258555,10.6,Approved,2022-06-16
LOAN002190,CUS016627,Personal Loan,3105768,11.11,Approved,2024-07-05
LOAN002191,CUS002370,Gold Loan,518815,9.48,Closed,2022-05-07
LOAN002192,CUS011761,Education Loan,208235,11.85,Approved,2021-04-04
LOAN002193,CUS001370,Business Loan,708314,12.64,Approved,2023-12-14
LOAN002194,CUS014870,Personal Loan,94943,11.83,Approved,2021-12-06
LOAN002195,CUS015330,Personal Loan,408256,10.75,Closed,2022-05-14
LOAN002196,CUS003391,Car Loan,6057246,12.44,Approved,2020-04-15
LOAN002197,CUS016001,Home Loan,288690,7.38,Approved,2021-09-10
LOAN002198,CUS007184,Home Loan,90253,7.68,Approved,2020-10-02
LOAN002199,CUS007776,Home Loan,1531273,11.56,Approved,2020-08-08
LOAN002200,CUS015636,Home Loan,208569,11.95,Approved,2020-12-19
LOAN002201,CUS003669,Personal Loan,197722,11.6,Pending,2021-10-15
LOAN002202,CUS008989,Car Loan,8575685,8.14,Approved,2025-08-03
LOAN002203,CUS017921,Home Loan,86197,13.02,Pending,2023-04-26
LOAN002204,CUS014901,Education Loan,53713,9.88,Pending,2022-02-22
LOAN002205,CUS019347,Car Loan,591825,9.95,Approved,2024-03-13
LOAN002206,CUS016474,Car Loan,926763,8.86,Approved,2024-06-08
LOAN002207,CUS005112,Business Loan,751642,13.78,Approved,2020-07-03
LOAN002208,CUS009816,Personal Loan,243671,11.4,Pending,2025-07-15
LOAN002209,CUS015629,Home Loan,8337564,11.68,Pending,2025-12-06
LOAN002210,CUS009304,Gold Loan,2518047,8.02,Closed,2021-02-18
LOAN002211,CUS008097,Personal Loan,588953,12.61,Approved,2020-03-04
LOAN002212,CUS006562,Home Loan,183563,9.52,Approved,2021-03-24
LOAN002213,CUS013163,Home Loan,158203,11.94,Approved,2025-02-16
LOAN002214,CUS002346,Education Loan,1507586,10.75,Pending,2023-10-01
LOAN002215,CUS002038,Business Loan,263080,8.02,Approved,2020-02-15
LOAN002216,CUS014586,Car Loan,345499,9.75,Pending,2024-11-06
LOAN002217,CUS011032,Business Loan,639984,9.82,Pending,2021-10-10
LOAN002218,CUS010120,Home Loan,165614,7.83,Approved,2025-06-21
LOAN002219,CUS011661,Car Loan,2202912,10.88,Approved,2025-11-11
LOAN002220,CUS005626,Personal Loan,9719555,11.14,Approved,2022-05-09
LOAN002221,CUS012670,Personal Loan,221666,9.63,Approved,2025-08-28
LOAN002222,CUS014433,Personal Loan,1746434,11.82,Approved,2020-04-03
LOAN002223,CUS002804,Personal Loan,3065707,8.72,Approved,2020-05-25
LOAN002224,CUS012160,Home Loan,966451,8.73,Approved,2024-01-22
LOAN002225,CUS001101,Education Loan,279316,9.11,Pending,2022-04-02
LOAN002226,CUS018014,Gold Loan,1533156,9.47,Approved,2023-03-27
LOAN002227,CUS002475,Car Loan,770596,13.35,Pending,2022-11-12
LOAN002228,CUS002303,Education Loan,467988,11.35,Approved,2021-02-16
LOAN002229,CUS014069,Home Loan,272831,8.1,Pending,2022-09-01
LOAN002230,CUS019427,Car Loan,62644,13.56,Approved,2022-10-18
LOAN002231,CUS005006,Business Loan,252008,10.9,Approved,2023-06-01
LOAN002232,CUS016223,Business Loan,2640877,8.86,Approved,2023-11-03
LOAN002233,CUS014798,Business Loan,1569962,13.3,Approved,2020-11-23
LOAN002234,CUS010636,Car Loan,1354300,8.22,Pending,2025-01-16
LOAN002235,CUS000197,Business Loan,652835,10.95,Approved,2025-11-19
LOAN002236,CUS003111,Education Loan,220900,11.88,Approved,2021-04-01
LOAN002237,CUS008304,Personal Loan,460226,7.69,Closed,2025-08-02
LOAN002238,CUS002745,Home Loan,1314293,12.65,Pending,2025-09-18
LOAN002239,CUS008476,Gold Loan,213980,12.31,Pending,2023-02-09
LOAN002240,CUS010080,Home Loan,8761013,9.57,Approved,2022-12-11
LOAN002241,CUS006560,Gold Loan,2136954,7.76,Pending,2022-07-08
LOAN002242,CUS019612,Home Loan,2477636,12.7,Pending,2021-06-17
LOAN002243,CUS012968,Personal Loan,1271528,10.76,Pending,2025-03-07
LOAN002244,CUS001040,Car Loan,212477,8.27,Approved,2024-01-25
LOAN002245,CUS017410,Education Loan,691372,11.59,Approved,2021-04-03
LOAN002246,CUS013885,Personal Loan,951460,12.24,Approved,2025-11-16
LOAN002247,CUS012099,Business Loan,62197,8.26,Approved,2022-01-18
LOAN002248,CUS005268,Education Loan,227773,11.18,Approved,2022-10-25
LOAN002249,CUS013112,Car Loan,494418,7.28,Pending,2020-11-19
LOAN002250,CUS005739,Gold Loan,246784,11.83,Approved,2022-09-16
LOAN002251,CUS008365,Gold Loan,205610,8.98,Closed,2024-08-04
LOAN002252,CUS018865,Gold Loan,64698,11.43,Pending,2020-10-23
LOAN002253,CUS011036,Car Loan,259883,10.1,Approved,2021-07-23
LOAN002254,CUS011283,Business Loan,2833697,12.4,Closed,2022-11-12
LOAN002255,CUS009663,Gold Loan,214223,12.39,Approved,2024-01-08
LOAN002256,CUS010973,Business Loan,223541,8.99,Approved,2023-01-27
LOAN002257,CUS003147,Personal Loan,481002,13.0,Closed,2022-02-25
LOAN002258,CUS013636,Home Loan,6938725,12.1,Approved,2023-10-01
LOAN002259,CUS000796,Car Loan,176084,7.94,Closed,2025-02-03
LOAN002260,CUS002290,Home Loan,298896,9.65,Approved,2021-12-22
LOAN002261,CUS014087,Business Loan,9169207,8.29,Approved,2025-03-01
LOAN002262,CUS019563,Personal Loan,213037,13.69,Approved,2025-07-06
LOAN002263,CUS008174,Personal Loan,3709274,13.2,Pending,2025-05-09
LOAN002264,CUS018244,Personal Loan,141759,12.01,Approved,2020-06-23
LOAN002265,CUS018259,Gold Loan,2172104,7.74,Approved,2024-03-24
LOAN002266,CUS012960,Home Loan,268647,13.16,Approved,2023-05-19
LOAN002267,CUS016969,Personal Loan,1571595,12.01,Approved,2021-05-07
LOAN002268,CUS001574,Education Loan,118176,11.85,Approved,2021-12-19
LOAN002269,CUS012313,Personal Loan,163983,8.23,Approved,2022-10-21
LOAN002270,CUS017145,Personal Loan,254739,9.63,Approved,2021-09-01
LOAN002271,CUS006542,Car Loan,269254,13.31,Pending,2022-12-01
LOAN002272,CUS015620,Personal Loan,228799,12.39,Approved,2024-07-04
LOAN002273,CUS012428,Personal Loan,2965276,8.3,Pending,2024-05-28
LOAN002274,CUS015161,Home Loan,165584,13.57,Approved,2022-03-02
LOAN002275,CUS011305,Education Loan,140074,10.87,Approved,2022-09-23
LOAN002276,CUS008290,Home Loan,104396,8.08,Approved,2022-10-05
LOAN002277,CUS010417,Home Loan,1545008,8.98,Approved,2022-08-13
LOAN002278,CUS002953,Personal Loan,144395,10.88,Pending,2025-12-17
LOAN002279,CUS005105,Education Loan,560964,10.57,Approved,2025-03-07
LOAN002280,CUS003422,Business Loan,1173369,12.8,Approved,2024-12-27
LOAN002281,CUS014842,Gold Loan,397667,8.62,Approved,2021-06-01
LOAN002282,CUS013313,Home Loan,1485232,10.91,Approved,2023-01-02
LOAN002283,CUS002109,Education Loan,1485641,12.98,Approved,2024-09-12
LOAN002284,CUS000352,Education Loan,1634899,11.16,Pending,2020-04-22
LOAN002285,CUS016041,Gold Loan,2838029,12.4,Pending,2023-10-27
LOAN002286,CUS007017,Business Loan,898882,12.71,Closed,2024-11-24
LOAN002287,CUS015923,Education Loan,205588,9.68,Pending,2025-05-20
LOAN002288,CUS007028,Car Loan,248017,13.32,Approved,2022-06-28
LOAN002289,CUS010735,Gold Loan,292800,13.66,Approved,2022-04-01
LOAN002290,CUS000003,Car Loan,6670276,8.7,Approved,2022-08-01
LOAN002291,CUS004176,Home Loan,288471,7.5,Pending,2025-07-23
LOAN002292,CUS018887,Gold Loan,137559,10.64,Approved,2022-09-08
LOAN002293,CUS000647,Gold Loan,114211,8.96,Pending,2024-01-25
LOAN002294,CUS007056,Personal Loan,1705508,9.16,Pending,2023-04-16
LOAN002295,CUS013763,Education Loan,3798637,10.18,Approved,2023-02-28
LOAN002296,CUS001028,Education Loan,9966014,8.72,Closed,2021-04-14
LOAN002297,CUS014802,Home Loan,161922,11.67,Approved,2023-10-10
LOAN002298,CUS019444,Home Loan,225798,13.44,Pending,2025-04-13
